kid,depth,arrival_s,deadline_s,delivered_images,delivery_fraction,utility,first_delivery_s,completion_s,completion_delay_s,lateness_s,late_image_fraction,deadline_violated,dropped,rejected,u_quality,u_tardiness,u_cost,u_coverage_gain,u_norm,enc_energy_j,tx_energy_j
0,16,0,2978,117850.0,1.0,0.89,30,1470,1470,-1508,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,43628.07,265.49248
1,16,0,3346,187776.0,1.0,0.5933,30,2550,2550,-796,0.0,0,0,0,0.626667,0.0,0.033333,1.0,0.946809,69514.6752,423.021773
2,16,0,2162,117189.0,1.0,0.89,30,1470,1470,-692,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,43383.3678,264.003379
3,16,0,3557,118835.0,1.0,0.5933,30,1470,1470,-2087,0.0,0,0,0,0.626667,0.0,0.033333,1.0,0.946809,43992.717,267.711488
4,16,0,3092,247151.0,1.0,0.8667,30,3390,3390,298,0.0889,1,0,0,0.929969,0.013303,0.05,0.989328,0.921984,91495.3002,556.781773
5,16,0,2030,257213.0,1.0,0.4827,30,3180,3180,1150,0.3667,1,0,0,0.569064,0.052987,0.033333,0.908081,0.770336,95220.2526,579.449446
6,16,0,2701,267950.0,1.0,0.5506,30,3330,3330,629,0.1834,1,0,0,0.607653,0.02372,0.033333,0.969659,0.878617,99195.09,603.63776
7,16,0,3469,174159.0,1.0,0.2967,30,2310,2310,-1159,0.0,0,0,0,0.313333,0.0,0.016667,1.0,0.946809,64473.6618,392.345395
8,16,1800,4324,256314.0,1.0,0.5453,1830,4980,3180,656,0.2033,1,0,0,0.60515,0.026557,0.033333,0.965665,0.870095,94887.4428,577.424179
9,16,1800,4398,264553.0,1.0,0.4376,1830,5790,3990,1392,0.459,1,0,0,0.538922,0.067945,0.033333,0.859982,0.698367,97937.5206,595.984998
10,16,1800,3765,190092.0,1.0,0.2813,1830,4170,2370,405,0.1687,1,0,0,0.306746,0.008732,0.016667,0.978975,0.897917,70372.0584,428.239258
11,16,1800,3714,210917.0,1.0,0.7673,1830,4470,2670,756,0.3237,1,0,0,0.881501,0.064199,0.05,0.937767,0.816279,78081.4734,475.153818
12,16,1800,4098,271659.0,1.0,0.7541,1830,5160,3360,1062,0.3199,1,0,0,0.872619,0.068562,0.05,0.928318,0.802189,100568.1618,611.993395
13,16,1800,4965,226333.0,1.0,0.2909,1830,5220,3420,255,0.0943,1,0,0,0.310746,0.003153,0.016667,0.991743,0.928487,83788.4766,509.882982
14,16,1800,3722,240105.0,1.0,-0.0495,1830,6900,5100,3178,0.9011,1,0,0,0.133966,0.150179,0.033333,0.213775,-0.079064,88886.871,540.908544
15,16,1800,5208,294140.0,1.0,0.5794,1830,5520,3720,312,0.0935,1,0,0,0.620579,0.007894,0.033333,0.990285,0.924497,108890.628,662.638592
16,16,3600,6768,235584.0,1.0,0.89,3630,6510,2910,-258,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,87213.1968,530.723635
17,16,3600,6240,138927.0,1.0,0.4708,3630,7110,3510,870,0.3949,1,0,0,0.561932,0.057831,0.033333,0.896699,0.751225,51430.7754,312.974746
18,16,3600,6384,199558.0,1.0,0.203,3630,7830,4230,1446,0.4703,1,0,0,0.258312,0.038674,0.016667,0.8244,0.647779,73876.3716,449.564262
19,16,3600,6630,130858.0,1.0,0.89,3630,5280,1680,-1350,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,48443.6316,294.796902
20,16,3600,6060,284506.0,1.0,0.686,3630,7380,3780,1320,0.4207,1,0,0,0.828322,0.092309,0.05,0.881193,0.7298,105324.1212,640.935117
21,16,3600,5986,293502.0,1.0,0.417,4320,7620,4020,1634,0.4918,1,0,0,0.52474,0.074363,0.033333,0.837352,0.665496,108654.4404,661.201306
22,16,3600,5537,281108.0,1.0,0.4392,3630,7260,3660,1723,0.4465,1,0,0,0.539637,0.067117,0.033333,0.861122,0.700829,104066.1816,633.280102
23,16,3600,5741,193911.0,1.0,0.8006,3630,6330,2730,589,0.2655,1,0,0,0.900272,0.04967,0.05,0.957736,0.851704,71785.8522,436.842701
