kid,depth,arrival_s,deadline_s,delivered_images,delivery_fraction,utility,first_delivery_s,completion_s,completion_delay_s,lateness_s,late_image_fraction,deadline_violated,dropped,rejected,u_quality,u_tardiness,u_cost,u_coverage_gain,u_norm,enc_energy_j,tx_energy_j
0,2,0,2978,117850.0,1.0,0.6219,30,1470,1470,-1508,0.0,0,0,0,0.65,0.0,0.028125,1.0,0.661569,43628.07,33.18656
1,2,0,3346,187776.0,1.0,0.4146,30,2340,2340,-1006,0.0,0,0,0,0.433333,0.0,0.01875,1.0,0.661569,69514.6752,52.877722
2,2,0,2162,117189.0,1.0,0.6219,30,1470,1470,-692,0.0,0,0,0,0.65,0.0,0.028125,1.0,0.661569,43383.3678,33.000422
3,2,0,3557,118835.0,1.0,0.4146,30,1470,1470,-2087,0.0,0,0,0,0.433333,0.0,0.01875,1.0,0.661569,43992.717,33.463936
4,2,0,3092,247151.0,1.0,0.6219,30,3060,3060,-32,0.0,0,0,0,0.65,0.0,0.028125,1.0,0.661569,91495.3002,69.597722
5,2,0,2030,257213.0,1.0,0.3218,30,3180,3180,1150,0.3667,1,0,0,0.393502,0.052987,0.01875,0.908081,0.513455,95220.2526,72.431181
6,2,0,2701,267950.0,1.0,0.3777,30,3330,3330,629,0.1834,1,0,0,0.420186,0.02372,0.01875,0.969659,0.602739,99195.09,75.45472
7,2,0,3469,174159.0,1.0,0.2073,30,2160,2160,-1309,0.0,0,0,0,0.216667,0.0,0.009375,1.0,0.661569,64473.6618,49.043174
8,2,1800,4324,256314.0,1.0,0.3731,1830,4980,3180,656,0.2033,1,0,0,0.418455,0.026557,0.01875,0.965665,0.595448,94887.4428,72.178022
9,2,1800,4398,264553.0,1.0,0.3721,1830,5070,3270,672,0.2097,1,0,0,0.417995,0.027142,0.01875,0.964604,0.593782,97937.5206,74.498125
10,2,1800,3765,190092.0,1.0,0.194,1830,4170,2370,405,0.1687,1,0,0,0.212111,0.008732,0.009375,0.978975,0.619164,70372.0584,53.529907
11,2,1800,3714,210917.0,1.0,0.5381,1830,4410,2610,696,0.2738,1,0,0,0.619403,0.053193,0.028125,0.952928,0.572431,78081.4734,59.394227
12,2,1800,4098,271659.0,1.0,0.5067,1830,5160,3360,1062,0.3199,1,0,0,0.603407,0.068562,0.028125,0.928318,0.539064,100568.1618,76.499174
13,2,1800,4965,226333.0,1.0,0.2073,1830,4620,2820,-345,0.0,0,0,0,0.216667,0.0,0.009375,1.0,0.661569,83788.4766,63.735373
14,2,1800,3722,240105.0,1.0,0.3267,1830,4770,2970,1048,0.352,1,0,0,0.396405,0.050961,0.01875,0.914781,0.521321,88886.871,67.613568
15,2,1800,5208,294140.0,1.0,0.4079,1830,5430,3630,222,0.066,1,0,0,0.43089,0.00429,0.01875,0.994362,0.650825,108890.628,82.829824
16,2,3600,6768,235584.0,1.0,0.6219,3630,6510,2910,-258,0.0,0,0,0,0.65,0.0,0.028125,1.0,0.661569,87213.1968,66.340454
17,2,3600,6240,138927.0,1.0,0.4146,3630,5340,1740,-900,0.0,0,0,0,0.433333,0.0,0.01875,1.0,0.661569,51430.7754,39.121843
18,2,3600,6384,199558.0,1.0,0.2073,3630,6090,2490,-294,0.0,0,0,0,0.216667,0.0,0.009375,1.0,0.661569,73876.3716,56.195533
19,2,3600,6630,130858.0,1.0,0.6219,3630,5220,1620,-1410,0.0,0,0,0,0.65,0.0,0.028125,1.0,0.661569,48443.6316,36.849613
20,2,3600,6060,284506.0,1.0,0.5137,3630,7140,3540,1080,0.3079,1,0,0,0.607009,0.065217,0.028125,0.93386,0.546454,105324.1212,80.11689
21,2,3600,5986,293502.0,1.0,0.3265,3630,7230,3630,1244,0.3456,1,0,0,0.39594,0.05066,0.01875,0.913708,0.521059,108654.4404,82.650163
22,2,3600,5537,281108.0,1.0,0.2874,3630,7080,3480,1543,0.4465,1,0,0,0.373226,0.067117,0.01875,0.86129,0.458551,104066.1816,79.160013
23,2,3600,5741,193911.0,1.0,0.6026,3630,6000,2400,259,0.1099,1,0,0,0.643132,0.012431,0.028125,0.989433,0.641038,71785.8522,54.605338
24,2,5400,8436,192588.0,1.0,0.2073,5430,7800,2400,-636,0.0,0,0,0,0.216667,0.0,0.009375,1.0,0.661569,71296.0776,54.232781
25,2,5400,7608,195141.0,1.0,0.2031,5430,7830,2430,222,0.0905,1,0,0,0.215111,0.002679,0.009375,0.992819,0.648055,72241.1982,54.951706
26,2,5400,8893,212900.0,1.0,0.6219,5430,8040,2640,-853,0.0,0,0,0,0.65,0.0,0.028125,1.0,0.661569,78815.58,59.95264
27,2,5400,8699,187430.0,1.0,0.2073,5430,7740,2340,-959,0.0,0,0,0,0.216667,0.0,0.009375,1.0,0.661569,69386.586,52.780288
28,2,5400,7375,225953.0,1.0,0.5235,5430,8190,2790,815,0.3006,1,0,0,0.612411,0.06082,0.028125,0.942171,0.556879,83647.8006,63.628365
29,2,5400,8698,162473.0,1.0,0.6219,5430,7410,2010,-1288,0.0,0,0,0,0.65,0.0,0.028125,1.0,0.661569,60147.5046,45.752397
30,2,5400,8715,187043.0,1.0,0.6219,5430,7710,2310,-1005,0.0,0,0,0,0.65,0.0,0.028125,1.0,0.661569,69243.3186,52.671309
31,2,5400,7719,177496.0,1.0,0.6219,5430,7620,2220,-99,0.0,0,0,0,0.65,0.0,0.028125,1.0,0.661569,65709.0192,49.982874
32,2,7200,10146,147911.0,1.0,0.6219,7230,9030,1830,-1116,0.0,0,0,0,0.65,0.0,0.028125,1.0,0.661569,54756.6522,41.651738
33,2,7200,9360,127950.0,1.0,0.6219,7230,8790,1590,-570,0.0,0,0,0,0.65,0.0,0.028125,1.0,0.661569,47367.09,36.03072
34,2,7200,10435,260980.0,1.0,0.2073,7230,10440,3240,5,0.0033,1,0,0,0.216663,5e-06,0.009375,0.999985,0.661544,96614.796,73.491968
35,2,7200,10197,257385.0,1.0,0.614,7230,10380,3180,183,0.0649,1,0,0,0.64707,0.004941,0.028125,0.995492,0.653195,95283.927,72.479616
36,2,7200,9499,194313.0,1.0,0.6182,7230,9600,2400,101,0.0491,1,0,0,0.648542,0.002262,0.028125,0.997757,0.657612,71934.6726,54.718541
37,2,7200,9826,256146.0,1.0,0.3821,7230,10380,3180,554,0.1743,1,0,0,0.421893,0.021086,0.01875,0.973599,0.609665,94825.2492,72.130714
38,2,7200,9067,201121.0,1.0,0.3644,7230,9690,2490,623,0.2506,1,0,0,0.415402,0.032226,0.01875,0.958619,0.58153,74454.9942,56.635674
39,2,7200,9206,127959.0,1.0,0.2073,7230,8790,1590,-416,0.0,0,0,0,0.216667,0.0,0.009375,1.0,0.661569,47370.4218,36.033254
40,2,9000,11978,187923.0,1.0,0.6219,9030,11340,2340,-638,0.0,0,0,0,0.65,0.0,0.028125,1.0,0.661569,69569.0946,52.919117
41,2,9000,11817,194219.0,1.0,0.6219,9030,11400,2400,-417,0.0,0,0,0,0.65,0.0,0.028125,1.0,0.661569,71899.8738,54.69207
42,2,9000,11834,115839.0,1.0,0.6219,9030,10440,1440,-1394,0.0,0,0,0,0.65,0.0,0.028125,1.0,0.661569,42883.5978,32.620262
