kid,depth,arrival_s,deadline_s,delivered_images,delivery_fraction,utility,first_delivery_s,completion_s,completion_delay_s,lateness_s,late_image_fraction,deadline_violated,dropped,rejected,u_quality,u_tardiness,u_cost,u_coverage_gain,u_norm,enc_energy_j,tx_energy_j
0,8,0,2978,117850.0,1.0,1.4487,30,1470,1470,-1508,0.0,0,0,0,1.4487,0.0,0.0,1.0,0.973392,43628.07,132.74624
1,8,0,3346,187776.0,1.0,0.9658,30,2340,2340,-1006,0.0,0,0,0,0.9658,0.0,0.0,1.0,0.973392,69514.6752,211.510886
2,8,0,2162,117189.0,1.0,1.4487,30,1470,1470,-692,0.0,0,0,0,1.4487,0.0,0.0,1.0,0.973392,43383.3678,132.00169
3,8,0,3557,118835.0,1.0,0.9658,30,1470,1470,-2087,0.0,0,0,0,0.9658,0.0,0.0,1.0,0.973392,43992.717,133.855744
4,8,0,3092,247151.0,1.0,1.4487,30,3060,3060,-32,0.0,0,0,0,1.4487,0.0,0.0,1.0,0.973392,91495.3002,278.390886
5,8,0,2030,257213.0,1.0,0.7024,30,3180,3180,1150,0.3667,1,0,0,0.702449,0.0,0.0,0.727324,0.707971,95220.2526,289.724723
6,8,0,2701,267950.0,1.0,0.8611,30,3330,3330,629,0.1834,1,0,0,0.861146,0.0,0.0,0.89164,0.867916,99195.09,301.81888
7,8,0,3469,174159.0,1.0,0.4829,30,2160,2160,-1309,0.0,0,0,0,0.4829,0.0,0.0,1.0,0.973392,64473.6618,196.172698
8,8,1800,4324,256314.0,1.0,0.8474,1830,4980,3180,656,0.2033,1,0,0,0.847369,0.0,0.0,0.877375,0.85403,94887.4428,288.71209
9,8,1800,4398,264553.0,1.0,0.8437,1830,5070,3270,672,0.2097,1,0,0,0.843709,0.0,0.0,0.873586,0.850342,97937.5206,297.992499
10,8,1800,3765,190092.0,1.0,0.4466,1830,4170,2370,405,0.1687,1,0,0,0.44664,0.0,0.0,0.924912,0.900302,70372.0584,214.119629
11,8,1800,3714,210917.0,1.0,1.208,1830,4410,2610,696,0.2738,1,0,0,1.207953,0.0,0.0,0.833818,0.811632,78081.4734,237.576909
12,8,1800,4098,271659.0,1.0,1.1125,1830,5160,3360,1062,0.3199,1,0,0,1.112502,0.0,0.0,0.767931,0.747499,100568.1618,305.996698
13,8,1800,4965,226333.0,1.0,0.4829,1830,4620,2820,-345,0.0,0,0,0,0.4829,0.0,0.0,1.0,0.973392,83788.4766,254.941491
14,8,1800,3722,240105.0,1.0,0.7165,1830,4770,2970,1048,0.352,1,0,0,0.716543,0.0,0.0,0.741916,0.722176,88886.871,270.454272
15,8,1800,5208,294140.0,1.0,0.9464,1830,5430,3630,222,0.066,1,0,0,0.946353,0.0,0.0,0.979864,0.953793,108890.628,331.319296
16,8,3600,6768,235584.0,1.0,1.4487,3630,6510,2910,-258,0.0,0,0,0,1.4487,0.0,0.0,1.0,0.973392,87213.1968,265.361818
17,8,3600,6240,138927.0,1.0,0.9658,3630,5340,1740,-900,0.0,0,0,0,0.9658,0.0,0.0,1.0,0.973392,51430.7754,156.487373
18,8,3600,6384,199558.0,1.0,0.4829,5040,6090,2490,-294,0.0,0,0,0,0.4829,0.0,0.0,1.0,0.973392,73876.3716,224.782131
19,8,3600,6630,130858.0,1.0,1.4487,3630,5220,1620,-1410,0.0,0,0,0,1.4487,0.0,0.0,1.0,0.973392,48443.6316,147.398451
20,8,3600,6060,284506.0,1.0,1.1292,3630,7140,3540,1080,0.3079,1,0,0,1.129231,0.0,0.0,0.779479,0.758739,105324.1212,320.467558
21,8,3600,5986,293502.0,1.0,0.711,3630,7230,3630,1244,0.3456,1,0,0,0.710967,0.0,0.0,0.736143,0.716556,108654.4404,330.600653
22,8,3600,5537,281108.0,1.0,0.6181,3630,7080,3480,1543,0.4465,1,0,0,0.618117,0.0,0.0,0.640006,0.622977,104066.1816,316.640051
23,8,3600,5741,193911.0,1.0,1.394,3630,6000,2400,259,0.1099,1,0,0,1.394028,0.0,0.0,0.962261,0.936658,71785.8522,218.42135
